x_mm,y_mm,z_mm
0.0,0.0,0.0
-0.8056209051876093,-0.5901593983954521,0.0
-1.6066922600211575,-1.1864795477882597,0.0
-2.4031088922648474,-1.7890021274904442,0.0
-3.194763605093841,-2.397767763226399,0.0
-3.981547193620102,-3.01281592253531,0.0
-4.7633484665438255,-3.634184806862102,0.0
-5.540054273221669,-4.2619112404820765,0.0
-6.311549536421236,-4.896030556416998,0.0
-7.077717291133897,-5.536576479619012,0.0
-7.83843872953441,-6.183581007503545,0.0
-8.593593252564308,-6.837074288271565,0.0
-9.34305852824875,-7.497084497205746,0.0
-10.086710557029509,-8.163637711314403,0.0
-10.824423744318551,-8.836757782684382,0.0
-11.55607098046037,-9.51646621094519,0.0
-12.281523728262933,-10.202782015280746,0.0
-13.000652118225753,-10.895721606459592,0.0
-13.713325051558012,-11.595298659387087,0.0
-14.41941031182356,-12.301523987506203,0.0
-15.118774680824096,-13.0144054151914,0.0
-15.8112840690102,-13.73394765906533,0.0
-16.496803647363766,-14.46015220591482,0.0
-17.175197989802644,-15.19301719699165,0.0
-17.846331222426322,-15.932537315895782,0.0
-18.510067179897952,-16.678703681257318,0.0
-19.166269568625918,-17.43150374491135,0.0
-19.814802136048165,-18.19092119656659,0.0
-20.45552884507826,-18.956935875784815,0.0
-21.088314053952967,-19.72952369166578,0.0
-21.713022700992248,-20.508656550457573,0.0
-22.329520493731067,-21.294302291776752,0.0
-22.937674101751533,-22.08642463402759,0.0
-23.53735135248597,-22.884983129574692,0.0
-24.128421429207684,-23.689933130179533,0.0
-24.710755070379726,-24.50122576316773,0.0
-25.284224769486766,-25.318807918736308,0.0
-25.84870497443638,-26.142622248749106,0.0
-26.40407228558523,-26.97260717730159,0.0
-26.950205651420667,-27.808696923263206,0.0
-27.486986560912605,-28.650821534929104,0.0
-28.01429923154266,-29.49890693683145,0.0
-28.532030792019185,-30.35287498867746,0.0
-29.040071458696993,-31.212643556295223,0.0
-29.53831470474164,-32.07812659438163,0.0
-30.026657421106663,-32.94923424076046,0.0
-30.505000068432242,-33.82587292177305,0.0
-30.97324681902094,-34.7079454683407,0.0
-31.431305688103652,-35.5953512421592,0.0
-31.879088653699995,-36.48798627135518,0.0
-32.31651176595938,-37.38574339438658,0.0
-32.74349524817555,-38.2885124097852,0.0
-33.15996358659176,-39.196180232973845,0.0
-33.56584560626354,-40.108631060088825,0.0
-33.961074532534354,-41.02574653807992,0.0
-34.345588037813656,-41.94740594011256,0.0
-34.719328273461436,-42.87348634529142,0.0
-35.08224188661181,-43.80386282150967,0.0
-35.434280022536704,-44.73840861196378,0.0
-35.77539831063262,-45.67699531899508,0.0
-36.105556837925754,-46.619493093921974,0.0
-36.42472010663682,-47.565770822101776,0.0
-36.73285697819231,-48.51569630738216,0.0
-37.029940603276835,-49.469136452473506,0.0
-37.31594834039447,-50.425957440495765,0.0
-37.590861660017666,-51.38602490573235,0.0
-37.854666038516,-52.34920410385757,0.0
-38.1073508405205,-53.31536007442277,0.0
-38.348909191158505,-54.28435779705184,0.0
-38.57933783885412,-55.25606234043043,0.0
-38.7986370095093,-56.23033900354276,0.0
-39.006810252896365,-57.207053448678835,0.0
-39.203864281952654,-58.18607182582949,0.0
-39.38980880386639,-59.16726088848133,0.0
-39.56465634283899,-60.15048810053302,0.0
-39.728422059023295,-61.13562173344196,0.0
-39.881123565558774,-62.12253095297582,0.0
-40.0227807445528,-63.11108589601055,0.0
-40.153415562663035,-64.10115773716767,0.0
-40.27305188696105,-65.09261874552523,0.0
-40.38171530168664,-66.08534233155285,0.0
-40.4794329264556,-67.07920308447163,0.0
-40.56623323643282,-68.07407680026719,0.0
-40.64214588493313,-69.06984050060959,0.0
-40.707201528862086,-70.06637244295185,0.0
-40.76143165736024,-71.06355212209269,0.0
-40.804868423967335,-72.06126026350113,0.0
-40.83754448257682,-73.05937880870297,0.0
-40.85949282740853,-74.05779089305452,0.0
-40.87074663718292,-75.05638081606409,0.0
-40.871339123650884,-76.05503400498105,0.0
-40.8613033845786,-77.05363697123859,0.0
-40.84067226127678,-78.05207726073245,0.0
-40.8094782007138,-79.05024339778001,0.0
-40.76775312223447,-80.04802482315202,0.0
-40.71552828883456,-81.04531182638924,0.0
-40.652834182291414,-82.04199547257505,0.0
-40.57970038296679,-83.03796752378302,0.0
-40.49615545838789,-84.03312035573542,0.0
-40.40222686181608,-85.02734687022044,0.0
-40.29794084058187,-86.0205404037368,0.0
-40.18332235391955,-87.01259463280866,0.0
-40.058395000038146,-88.0034034763722,0.0
-39.923180952170796,-88.99286099561465,0.0
-39.777700903354976,-89.98086129161165,0.0
-39.62197401970387,-90.96729840111585,0.0
-39.45601790196105,-91.95206619071752,0.0
-39.27984855513222,-92.93505824969827,0.0
-39.093480365983595,-93.91616778198605,0.0
-38.8969260882823,-94.8952874972274,0.0
-38.6901968356133,-95.87230950136191,0.0
-38.47330208165848,-96.84712518689506,0.0
-38.24624966783902,-97.8196251231029,0.0
-38.00904581824695,-98.7896989463904,0.0
-37.76169516181432,-99.75723525102856,0.0
-37.504200761690356,-100.72212148050006,0.0
-37.236564151820694,-101.68424381968721,0.0
-36.9587853807432,-102.64348708814535,0.0
-36.67086306263615,-103.5997346347176,0.0
-36.372794435587934,-104.55286823373334,0.0
-36.06457542607573,-105.50276798271642,0.0
-35.74620071863475,-106.44931220145574,0.0
-35.41766383164094,-107.39237733288668,0.0
-35.07895719965971,-108.33183784614215,0.0
-34.73007226251764,-109.267566142071,0.0
-34.37099956125719,-110.1994324615468,0.0
-34.00172884114208,-111.12730479691751,0.0
-33.622249161996095,-112.05104880671071,0.0
-33.23254901529013,-112.97052773582675,0.0
-32.832616450345085,-113.88560233639473,0.0
-32.42243920625614,-114.79613079831957,0.0
-32.0020048531621,-115.70196868171884,0.0
-31.571300940965727,-116.60296885669385,0.0
-31.13031515629227,-117.49898144944186,0.0
-30.679035487693163,-118.3898537955721,0.0
-30.217450399164974,-119.27543040130665,0.0
-29.745549012036644,-120.15555291325336,0.0
-29.26332129531323,-121.0300600973473,0.0
-28.770758263310245,-121.89878782972639,0.0
-28.267852184292646,-122.7615690935655,0.0
-27.754596793192512,-123.61823399478105,0.0
-27.230987515171133,-124.46860978498363,0.0
-26.697021695422237,-125.31252090024861,0.0
-26.152698836627888,-126.1497890142409,0.0
-25.598020847334993,-126.98023310967261,0.0
-25.032992303124733,-127.80366957114165,0.0
-24.457620715030405,-128.6199122976098,0.0
-23.871916802849373,-129.42877283457878,0.0
-23.275894772298898,-130.23006052681407,0.0
-22.669572594828665,-131.02358269245133,0.0
-22.052972288787146,-131.809144819209,0.0
-21.426120200489244,-132.5865507833441,0.0
-20.789047283598183,-133.35560309186639,0.0
-20.141789375141638,-134.1161031483328,0.0
-19.48438746606717,-134.86785154271868,0.0
-18.816887964918735,-135.6106483647403,0.0
-18.139342951852804,-136.34429354127644,0.0
-17.451810421296496,-137.0685871969177,0.0
-16.75435451079465,-137.78333003723392,0.0
-16.04704571377478,-138.48832375380906,0.0
-15.32996107383189,-139.18337144992438,0.0
-14.603184357818403,-139.86827808576774,0.0
-13.866806208108018,-140.54285093892085,0.0
-13.120924263579987,-141.20690008569284,0.0
-12.365643260768106,-141.86023888831784,0.0
-11.601075099485104,-142.50268449808593,0.0
-10.827338879210114,-143.1340583639427,0.0
-10.04456090100991,-143.75418674487562,0.0
-9.252874625614298,-144.3629012113529,0.0
-8.452420583463176,-144.96003912615282,0.0
-7.643346247186057,-145.54544411303706,0.0
-6.825805869149608,-146.11896651317468,0.0
-5.999960284363139,-146.6804638259006,0.0
-5.165976679336126,-147.22980113039682,0.0
-4.324028327831892,-147.76685148497492,0.0
-3.474294294787086,-148.29149630078422,0.0
-2.6169591101997702,-148.80362568683518,0.0
-1.7522124145929607,-149.3031387637779,0.0
-0.8802485787721874,-149.78994394364315,0.0
-0.00126630013051382,-150.26395917352647,0.0
0.8845318215764935,-150.72511214127135,0.0
1.776939726009369,-151.1733404416735,0.0
2.6757483483643485,-151.6085917020783,0.0
3.5807460865311547,-152.03082366666823,0.0
4.4917192760450035,-152.44000423920903,0.0
